Points_0,Points_1,Points_2,Temperature
0.0199914,0.0250006,0.00970631,34.7499
0.0102694,0.00824639,0.00838102,34.16
0.0100093,0.0296907,0.00969529,35.1316
0.0109311,0.00832384,0.00709414,33.8282
0.0100078,0.0374766,0.00972034,34.7281
0.0190684,0.00846563,0.00709339,33.6649
0.0199914,0.0234387,0.009707,34.768
0.0100107,0.0187054,0.0096734,35.1373
0.0199904,0.0203107,0.00969093,34.768
0.0199825,0.00914834,0.00958165,34.3207
0.0150065,0.0418627,0.005,33.0975
0.0100108,0.0249954,0.00967136,35.2098
0.0100155,0.0106881,0.00960608,34.6728
0.0100256,0.0420341,0.00949431,34.3002
0.0103868,0.0421288,0.00807179,33.9401
0.0198262,0.0417115,0.00869326,33.7917
0.0199893,0.0171586,0.00967306,34.7218
0.0134327,0.00825443,0.00525199,33.3146
0.0165387,0.0418236,0.00524266,33.116
0.0179743,0.00840172,0.00598085,33.4149
0.0100097,0.0155437,0.00968893,35.0236
0.0100109,0.0202802,0.0096694,35.1814
0.0100055,0.0390187,0.00976456,34.6141
0.0199809,0.0387946,0.00956386,34.1838
0.0199435,0.0402787,0.00925025,34.0042
0.0197553,0.0350042,0.00845508,34.0693
0.010272,0.0147111,0.00837328,34.5018
0.0197642,0.0116033,0.00848268,34.1456
0.0157206,0.0404857,0.0050522,33.126
0.0172047,0.0404282,0.00551232,33.2028
0.0104102,0.00982808,0.00801657,34.1328
0.0141864,0.00961831,0.00506663,33.2844
0.0102831,0.0335976,0.00834137,34.4779
0.0102848,0.0194653,0.00833647,34.6443
0.0102788,0.0273466,0.00835381,34.6646
0.0197207,0.0288912,0.00835232,34.2454
0.0185029,0.0403683,0.00643214,33.3775
0.0102633,0.038255,0.0083989,34.2513
0.019714,0.0147325,0.00833326,34.218
0.0197174,0.0179542,0.00834279,34.288
0.0102828,0.016286,0.00834235,34.5591
0.0172867,0.00976996,0.00555352,33.3559
0.0197154,0.0163565,0.00833719,34.2577
0.0197448,0.0335008,0.00842308,34.121
0.019725,0.027336,0.00836455,34.2794
0.0102894,0.0226336,0.00832365,34.6802
0.0197319,0.0319748,0.0083848,34.1623
0.0127006,0.00966384,0.00556011,33.4477
0.0102354,0.0397297,0.008484,34.1826
0.0102728,0.0304773,0.00837106,34.61
0.0194399,0.0404359,0.00770057,33.6381
0.0102734,0.0289123,0.00836918,34.6448
0.0197319,0.0226616,0.0083848,34.3322
0.0102806,0.0351464,0.00834855,34.4071
0.0197147,0.0130946,0.00833509,34.1598
0.0197306,0.0257796,0.00838089,34.3055
0.0102873,0.0210524,0.00832962,34.6667
0.0114173,0.00971951,0.00651223,33.7241
0.0102676,0.0366937,0.00838613,34.3452
0.0195894,0.0100144,0.00801565,33.9352
0.0197336,0.0242208,0.00838969,34.3247
0.010283,0.0178806,0.00834169,34.6108
0.0197268,0.021101,0.00836984,34.3267
0.010289,0.0242093,0.00832483,34.684
0.0197227,0.030439,0.00835791,34.2102
0.0102734,0.011562,0.00836939,34.3435
0.0141974,0.0405321,0.00506484,33.1752
0.0102854,0.0257789,0.00833483,34.6807
0.011547,0.0406096,0.00638385,33.5715
0.019707,0.0379659,0.00831344,33.8983
0.0102423,0.0131764,0.00846233,34.4613
0.0102777,0.0320398,0.00835694,34.5541
0.0157633,0.0096401,0.00505861,33.2468
0.0186081,0.00997068,0.0065386,33.5784
0.0197433,0.0365061,0.00841842,33.9963
0.0197214,0.0195338,0.00835433,34.3117
0.0127711,0.0405793,0.00552426,33.3272
0.0101866,0.041028,0.00864678,34.1533
0.0191097,0.0203397,0.00715213,33.9581
0.0192211,0.0356995,0.00732001,33.7437
0.0197032,0.0392832,0.00830303,33.8346
0.0148697,0.0391663,0.0050017,33.1686
0.0163774,0.039096,0.00519347,33.1841
0.0106753,0.0407456,0.0074907,33.8685
0.0190748,0.0118414,0.00710242,33.7803
0.0190976,0.0187675,0.0071347,33.9382
