Block Name,Point ID,FamilyIdNode,Points_0,Points_1,Points_2,Points_Magnitude,Temperature
dataset_1,312,0,0.0005,0.0106564,0.025,0.0271811,49.56
dataset_1,313,0,0.0005,0.0108535,0.025,0.0272589,49.6115
dataset_1,314,0,0.0005,0.0110505,0.025,0.027338,49.6717
dataset_1,315,0,0.0005,0.0112475,0.025,0.0274182,49.7394
dataset_1,316,0,0.0005,0.0114444,0.025,0.0274996,49.8142
dataset_1,317,0,0.0005,0.0116414,0.025,0.0275821,49.8948
dataset_1,318,0,0.0005,0.0118384,0.025,0.0276658,49.9811
dataset_1,319,0,0.0005,0.0120354,0.025,0.0277507,50.0685
dataset_1,320,0,0.0005,0.0122323,0.025,0.0278367,50.1623
dataset_1,321,0,0.0005,0.0124293,0.025,0.0279238,50.2597
dataset_1,322,0,0.0005,0.0126263,0.025,0.028012,50.3574
dataset_1,323,0,0.0005,0.0128233,0.025,0.0281014,50.4577
dataset_1,324,0,0.0005,0.0130202,0.025,0.0281918,50.5659
dataset_1,325,0,0.0005,0.0132172,0.025,0.0282833,50.669
dataset_1,326,0,0.0005,0.0134142,0.025,0.0283759,50.7767
dataset_1,327,0,0.0005,0.0136112,0.025,0.0284695,50.8886
dataset_1,328,0,0.0005,0.0138081,0.025,0.0285642,50.9997
dataset_1,329,0,0.0005,0.0140051,0.025,0.02866,51.1116
dataset_1,330,0,0.0005,0.0142021,0.025,0.0287567,51.2269
dataset_1,331,0,0.0005,0.0143991,0.025,0.0288545,51.3431
dataset_1,332,0,0.0005,0.014596,0.025,0.0289533,51.4619
dataset_1,333,0,0.0005,0.014793,0.025,0.0290531,51.5857
dataset_1,334,0,0.0005,0.01499,0.025,0.0291539,51.6977
dataset_1,335,0,0.0005,0.0151869,0.025,0.0292557,51.8162
dataset_1,336,0,0.0005,0.0153839,0.025,0.0293584,51.9361
dataset_1,337,0,0.0005,0.0155809,0.025,0.0294621,52.0538
dataset_1,338,0,0.0005,0.0157779,0.025,0.0295667,52.1693
dataset_1,339,0,0.0005,0.0159748,0.025,0.0296723,52.2992
dataset_1,340,0,0.0005,0.0161718,0.025,0.0297788,52.4131
dataset_1,341,0,0.0005,0.0163688,0.025,0.0298862,52.5358
dataset_1,342,0,0.0005,0.0165658,0.025,0.0299946,52.6565
dataset_1,343,0,0.0005,0.0167627,0.025,0.0301038,52.7714
dataset_1,344,0,0.0005,0.0169597,0.025,0.0302139,52.8826
dataset_1,345,0,0.0005,0.0171567,0.025,0.0303249,53.0081
dataset_1,346,0,0.0005,0.0173537,0.025,0.0304368,53.1269
dataset_1,347,0,0.0005,0.0175506,0.025,0.0305495,53.2365
